===12/18 23:42:02
더콰옹 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.186) 23:41 
머쉬베놈 제거버전 입갤 ㅋㅋ     양키스홀릭 23:41 
쌈디 우승ㅋㅋㅋㅋ     ㅇㅇ(211.231) 23:41 
더콰 잘하네     ㅇㅇ 23:41 
쌈박자가 더 낫다     로흐 23:41 
더콰가 하니까 느낌이 다르네시발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 23:41 
서든 상점 ㅇㅈㄹ ㅋㅋㄱㅋㄱㅋㄱㅋㅋㅋㅋ     ㅇㅇ(1.233) 23:41 
서든어택비트 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.38) 23:41 
콰이엇좌입갤ㅋㅋㅋㅋㅋㅋ     가엾 23:41 
피쳐링 미쳤ㄴㅎ     롤치킨젛아.. 23:41 
더콰 우승 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     썸마인즈 23:41 
"머쉬베놈 제거 버전"     린미 23:41 
쌈디 더콰 우승 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(14.46) 23:42 
초반 좆구렸다가 쌈디 더콰나오고 노래가 바뀌네 ㅋㅋㅋ     우걱우걱 23:42 
더콰 우승ㅋㅋㅋㅋㅋㅋ     Madro인생 23:42 
더콰 멋있네 ㄹㅇ ㅋㅋㅋㅋㅋ     김어둠 23:42 
머쉬베놈 일부러 첫무대는 힘 존나 빼는데 ㅋㅋㅋㅋ     ㅇㅇ(114.129) 23:42 
머쉬제거버전 ㅋㅋ     슈스김예림 23:42 
쌈디가 피처링으로 더콰랑 머쉬베놈 쓴거같은데?     ㅇㅇ(124.80) 23:42 
피처링 하드캐리 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     이지늄 23:42 
좋노 ㅋㅋㅋㅋ 아 피쳐링 나오니까 노라 확 사네 ㅋㅋㅋㅋ     킹놀드 23:42 
더콰 ㅁㅊ 개좋노     ㅇㅇ(117.111) 23:42 
ㅅㅂ 마스크 쌈디 더콰 나올때 설마 햇는데     ㅇㅇ(223.62) 23:42 
머쉬삭제버전 ㅋㅋㅋㅋㅋㅋㅋ     ノム 23:42 
더콰가 젤 잘했는데?     ㅇㅇ(183.107) 23:42 
오니?!?!?!?!?!     ㅇㅇ(1.246) 23:42 
더콰 자기 랩도 못하는데      ㅇㅇ(223.62) 23:42 
이영지노 ㅋㅋㅋ     ㅇㅇㅇㅇ(211.36) 23:42 
===12/18 23:42:08
본곡 맞나보네?     ㅇㅇ(223.38) 23:42 
아니씨발 비트게이야...     재수 23:42 
피쳐링 우승 ㅋㅋㅋㅋㅋ     ㅇㅇ(220.74) 23:42 
더콰나오니까 바로 고급져버리네     ㅇㅇ(110.70) 23:42 
와 갑자기 존나좋아졌네;;     ㅇㅇ 23:42 
머쉬삭제버전 가져와 시파 ㄹㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(218.157) 23:42 
규정 울먹이노 ㅠㅠㅠ     아기토끼 23:42 
젓딧 ㅆㅂ ㅌㅋㅋㅋㅋ     ㅇㅇ(14.44) 23:42 
오우쉣 더콰뭔데ㅋㅋㅋㅋ     Melt 23:42 
단독 무대라매     ㅇㅇ(220.123) 23:42 
쌈디 더콰 잘생긴애들만 피쳐링하노 ㅋㅋㅋ     ㅇㅇ(124.58) 23:42 
머쉬 개 묻히네ㅋㅋㅋㅋ     ㅇㅇ(39.112) 23:42 
쌈디형 ㅠㅠ 사랑해     ㅇㅇ(116.122) 23:42 
서든상점ㅇㅈㄹㅋㅋㅋㅋ     ㅇㅇ(221.152) 23:42 
기석아 사랑해❤+❤+     어쩔어쩔요(39.114) 23:42 
숨차보이냐 더콰     ■■(210.221) 23:42 
다모임이노ㅋㅋㅋ     ㅇㅇ(220.122) 23:42 
더콰가 존나 잘하는데? ㅋㅋㅋ     후유 23:42 
와 미친ㅋㅋㅋ 더콰하고 쌈디를 불렀노ㅋㅋㅋㅋ     ㅇㅇ(211.36) 23:42 
이거 비트 존나좋노     ㅇㅇ(106.101) 23:42 
삭제버전 올려줭     필맘1호(182.225) 23:42 
아니 굴젓팀 표정 ㅆㅋㅋㅋㅋㅋ     ㅇㅇ(39.7) 23:42 
더콰이엇 좆간지     효주아녜스 23:42 
네이버페이 4만지급 이벤 오늘 종료.jpg     ㅇㅇ(223.39) 23:42 
치트키를 두개나 쓰네     ㅇㅇ(118.38) 23:42 
ㅋㅋㅋㅋ 랩하우스 온 에어~     Malo 23:42 
머쉬베놈 삭제버전 입갤ㅋㅋㅋㅋㅋㅋㅋㅋ     곰치오빠 23:42 
머쉬 시발 외모몰아주기하고있노     ㅇㅇ(125.129) 23:42 
===12/18 23:42:13
피쳐링 미쳤노 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(211.216) 23:42 
이건 ㄹㅇ 머쉬 제거버전 내야함 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(118.222) 23:42 
소신발언) 개좋음     ㅇㅇ(49.167) 23:42 
이건 머쉬 우승해도 한게 아니네     ㅇㅇ(118.36) 23:42 
머쉬 제거버전 내놔ㅅㅂ     ㅇㅇ(112.173) 23:42 
근데 이렇게되면 뉴스에 나온 피쳐링진 완전히 믿을수는 없네     ㅇㅇ(58.143) 23:42 
ㅋㅋㅋㅋㅋㅋ머쉬삭제버전입갤     오왕 23:42 
아니 씨발 ㅋㅋ 우승자를 이딴식으로 가리는게 맞음?     ㅇㅇ(211.218) 23:42 
정작 머쉬만 빼면 더 좋은거 같은 무대     ㅇㅇ(125.138) 23:42 
더콰형 음색 좆되네 ㄹㅇㅋㅋ     ㅇㅇ(119.75) 23:42 
쌈디 우승ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     산미 23:42 
머쉬삭제좀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(183.91) 23:42 
시발 어떻게 결승이 퀄리티가  젤 좆망이노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(175.197) 23:42 
쌈디 더콰 우승 ㅋㅋㅋㅋ     ㅇㅇ(210.223) 23:42 
더콰쌈디대려와서 가다를하노 ㅌㅋ     ㅇㅇ 23:42 
머쉬베놈 제거버전     ㅇㅇ(1.238) 23:42 
쌈트키 ㄹㅇ..     iamon 23:42 
머쉬베놈제거버전ㅋㅋㅋㅋㅋ     ㅇㅇ(211.35) 23:42 
머쉬베놈 제거버전 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(175.214) 23:42 
릴보이피쳐링으로 딥플로우나오겟노 ㅋㅋ     빠크(221.153) 23:42 
머쉬제거버전입갤ㅋㅋㅋㅋㅋㅋㅋㅋ     파키파키 23:42 
머쉬베놈이 진짜 똑똑한게 젓딧 절대 안씀ㅋ     ㅇㅇ(117.111) 23:42 
딥플로우 빼고 좆모임 다나왔네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(49.143) 23:42 
쌈디더콰가 씹캐리중 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.176) 23:42 
조졌는데 그냥ㅋㅋㅋㅋ     ㅎㅎ(182.224) 23:42 
고등래퍼4 멘토임 쟤네들     ㅇㅇ(113.131) 23:42 
머쉬 제거버전 가자고 ㅋㅋㅋ     김어둠 23:42 
더콰우승ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(1.238) 23:42 
===12/18 23:42:19
