===11/20 00:48:56===
근데 비오키 178 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(122.42) 
이무진 입갤 ㅋㅋ     ㅇㅇ(125.180) 
쇼미3그립다     ㅇㅇ(125.181) 
또 또 노래하네 시발 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(118.235) 
비오 아까 나왔던 노래 제목 아는 사람잇음?      ㅇㅇ(211.252) 
좆잉랩 입갤ㅋㅋㅋ     ㅇㅇ(119.207) 
비오 우승     ㅇㅇ(112.164) 
신호등ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(1.255) 
비오 우승     ㅇㅇ(211.36) 
===11/20 00:49:02===
이무진 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     뜰기. 
리무진 제목 보고 순간 헉 했다     ㅇㅇ(121.130) 
뒤에 피타입 있노     ㅇㅇ(211.246) 
쿤타야... 랩없이 레게 부른 니가 비오 팝스럽다 하기엔 좀...     ㅇㅇ(49.168) 
발라드 입갤 ㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.38) 
다음 피쳐링 이무진 ㄷㄷㄷ     ㅇㅇ(117.123) 
슈스케 맞노ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(58.226) 
음원 1등이다 이거     ㅇㅇ(223.38) 
보짓물 폭발ㅋㅋㅋㅋ     ㅇㅇ(219.248) 
또잉 ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(115.137) 
비오 목소리 진짜 사기긴 하다     148cm 
아 . . . .      구일범 
===11/20 00:49:07===
다 씽잉하네     ㅇㅇ(58.235) 
비오 브베닮음     ㅇㅇ(211.36) 
이무진 신호등이나 불러라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(118.139) 
랩하라고 씨발~~~~~~~     ㅇㅇ(218.52) 
이무진 신호등 입갤 ㅋㅋㅋㅋㅋ     ㅇㅇ(118.223) 
비트  감성 ㄷ      ㅇㅇ(211.36) 
음원 비오가 1위하고 2위가 베이식일듯      ㅇㅇ(223.39) 
이무진ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(116.47) 
이게 쇼미냐고 씨발     ㅇㅇ(180.69) 
팝 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     €아라한 
코로나로 수익 조져서 돈 챙겨주려고 싱잉한 느낌 ㅈㄴ남     ㅇㅇ(223.39) 
ㅋㅋㅋ제목이 이무진     ㅇㅇ(211.201) 
이제 대놓고 락을 하네 씨발 ㅋㅋㅋ     ㅇㅇ(210.117) 
비트 시발 분명히 어디서 들었던건데     ㅇㅇ(110.11) 
또잉~ 또잉~     ㅇㅇ(218.157) 
씨발 대놓고 발라드하노 ㅋㅋㅋㅋ     ㅇㅇ(125.138) 
===11/20 00:49:12===
슈스케노 ㄹㅇ     ㅇㅇ(110.12) 
와 시작 존나 K팝스타네      ㅇㅇ(211.198) 
씨발 힙합비트가 하나밖에 안나오는거 실화냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(121.187) 
이번화 원썬 리뷰 예상     ㅇㅇ(119.198) 
가사 좆구림     ㅇㅇ(223.39) 
도입 존나 좋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(39.115) 
이부진 ㅋㅋㅋ     과자맨 
비오는 도대체 코수술을 어케 한거임?     ㅇㅇ(119.204) 
존나조타 ㅅㅂㅋㅋㅋㅋ     NEWBEE 
싱잉 넘어 싱잉이노 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     211.44 
조개 젖었노ㅋㅋㅋㅋ     ㅇㅇ(118.220) 
씽잉 시작ㅁㅋ     ㅇㅇ(222.98) 
^케이팝조무사^     ㅇㅇ(211.243) 
랩하라고     ㅇㅇ(123.212) 
붐뱁킹 타쿠와 그립네...     ㅇㅇ(49.171) 
성공하고싶어하노 굿바이산이 ㅋㅋ     ㅇㅇ(1.252) 
머드 힙갤에서 이미지가 게이라서 그렇지     ㅇㅇ(112.147) 
===11/20 00:49:17===
오 랩하네     구일범 
죄다 노래만 처하고있네 ㅋㅋㅋ     ㅇㅇ(59.16) 
이게 음원 1등이다     세종대가고.. 
쿤타멸망ㅋㅋㅋㅋㅋㅋㅋ     쏘쏘림 
이무진은 왜찾냐?     ㅇ(183.109) 
이게 음원 1등일듯 ㅇㅇ     ㅇㅇ(39.116) 
그래도 랩은 하노 ㅋㅋㅋ     디시병신 
쿤타 우승ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(124.56) 
감성 좆되긴 하는데ㅋㅋㅋㅋㅋㅋㅋㅋ     B1ackRose 
제목이 좀 구려 리무지인     ㅇㅇ(223.33) 
===11/20 00:49:22===
좋노음원 1위 예약 ㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.39) 
^케이팝조무사^     ㅇㅇ(211.243) 
샤라웃 투 이무진 ㄷㄷㄷ     ㅇㅇ(121.132) 
머드랑 황지상빼고 다 싱잉이노 시발 ㅋㅋㅋㅋ     ㅇㅇ(14.51) 
이메진 드래곤 노래 느낌 나네 딱..     ㅇㅇ(61.80) 
아이돌 노래같노     ㅇㅇ(1.244) 
리무진(feat 이무진) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     €아라한 
그래도 랩은하네      ㅇㅇ(175.223) 
비오는 싱잉랩이지 라임이있잖아     ㅇㅇ(14.33) 
슈퍼밴드 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ 
