===12/19 00:29:51
미란이보다 머쉬가 더 짠하노...     ㅇㅇ(182.225) 00:29 
그럼 저 뱀들을 물리치느라 그거 쇼미8 저격 맞지?     소녀와사겼.. 00:29 
아니 씨발 이긴사람을 와 방출했어 40크루 개새끼들아     킹놀드 00:29 
카키 잘하는진 모르겠는데 랩할때 존나 머싰네     ㅇㅇ(112.187) 00:29 
슬프네     ㅇㅇ(125.177) 00:29 
ㄷㄷㄷㅈ 입갤     ㅇㅇ(110.9) 00:29 
ㄷㄷㄷㅈ입갤 ㅋㅋㅋ     디시병신 00:29 
욕한거 미안해지네...     24:26 00:29 
ㄷㄷㄷㅈ     딛디티 00:29 
야 근데 결승 투표하는거     ㅇㅇ(211.187) 00:29 
ㄷㄷㄷㄷ     ㅇㅇ 00:29 
ㄷㄷㄷㅈ     일리비션 00:29 
ㄷㄷㄷㅈ     오오(124.54) 00:29 
===12/19 00:29:57
ㄷㄷㄷㅈ     소녀와사겼.. 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(218.150) 00:29 
ㄷㄷㄷㅈ     좆뉴비 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(211.211) 00:29 
ㄷㄷㄷㅈ 입갤ㅋㅋㅋ     ㅇㅇ(211.36) 00:29 
돈까스 왜 빌런은 오져놓고 여기서 예술한다고 지랄했냐     군지 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(1.229) 00:29 
ㄷㄷㄷㅈ 입갤 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(125.186) 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(112.153) 00:29 
쇼미8 : ????     wondu 00:29 
ㄷㄷㄷㅈ      ㅇㅇ(218.150) 00:29 
ㄷㄷㄷㅈ     애쉬아무데.. 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(124.51) 00:29 
우승ㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(112.151) 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(39.7) 00:29 
무발기사정ㅋ     ㅇㅇ(219.251) 00:29 
우승 확정 ㅠㅠㅠㅠㅠ     ㅇㅇ(58.237) 00:29 
두둥등장ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ     ㅇㅇ(223.39) 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(182.222) 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(118.217) 00:29 
치트키 입갤ㅋㅋㅋㅋㅋ     ㅇㅇ(183.97) 00:29 
ㄷㄷㄷㅈ     부먹충 00:29 
입갤 ㅋㅋㅋㅋㅋ     ralocoin(125.184) 00:29 
ㄷㄷㄷㅈ     Buonaparte 00:29 
ㄷㄷㄷㅈ     ㅇㅇ(221.163) 00:29 
ㄷㄷㄷㅈㄷㄷㄷㄷㄷ     ㅇㅇ(222.121) 00:29 
ㄷㄷㄷㅈ     일리비션 00:29 
ㄷㄷㄷㅈ     Frost 00:29 
===12/19 00:30:02
ㄷㄷㄷㅈ     우하하팡파.. 00:30 
ㄷㄷㄷㅈ     ㅇㅇ 00:30 
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ     닉네임이다 00:30 
ㄷㄷㄷㅈ     어록바 00:30 
ㄷㄷㄷㅈㅋㅋㅋㅋㅋㅋ     ㅇㅇ(175.192) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(121.143) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(116.36) 00:30 
ㄷㄷㄷㅈ입갤ㅋㅋㅋㅋㅋ     딛디티 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(119.192) 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(211.243) 00:30 
ㄷㄷㄷㅈ     쾌걸조루리 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(223.62) 00:30 
ㄷㄷㄷㅈ     wondu 00:30 
치트키 ON     ㅇㅇ(211.201) 00:30 
ㄷㄷㄷㅈ     송원신 00:30 
ㄷㄷㄷㅈ ㅋㅋㅋㅋㅋ     ㅇㅇ(210.179) 00:30 
ㄷㄷㄷㅈ     공배기 00:30 
ㄷㄷㄷㅈ     넛지리커버 00:30 
ㄷㄷㄷㅈ     ㅇㅇ 00:30 
ㄷㄷㄷㅈ     ㅇㅇ(218.150) 00:30 
ㄷㄷㄷㅈ     구창모의왼.. 00:30 
